ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"58.97.210.116","elite","AS131178","KH","OpenNet ISP Cambodia","212","KingCorp Inc","5678","socks4","28","448","2021-08-31T11:02:15.290Z","100","1","1"
"177.75.3.17","elite","AS28178","BR","Networld Provedor e Servicos de Internet Ltda","193","Networld Provedor e Servicos de Internet Ltda","5678","socks4","36","1","2021-08-31T11:02:15.892Z","100","1","1"
"190.171.76.9","elite","AS271792","CO","2red Internet Redes Y Hosting Ltda","110","2red Internet Redes Y Hosting Ltda","5678","socks4","28","1","2021-08-31T11:02:15.908Z","100","1","1"
"118.173.233.140","elite","AS23969","TH","TOT Public Company Limited","212","TOT Public Company Limited","5678","socks4","75","472","2021-08-31T11:02:15.496Z","100","1","1"
"117.212.94.47","elite","AS9829","IN","BSNL Internet","287","N/A","5678","socks4","43","588","2021-08-31T11:02:15.184Z","100","1","1"
"103.85.63.118","elite","AS131111","ID","MORATELINDONAP","231","N/A","5678","socks4","34","461","2021-08-31T11:02:15.988Z","100","1","1"
"197.248.210.35","elite","AS37061","KE","Safaricom Limited","305","Safaricom Limited","5678","socks4","54","1132","2021-08-31T11:02:14.871Z","100","1","1"
"164.163.221.101","elite","AS267455","BR","Fibracom Telecomunicacoes E Servicos Eireli - ME","230","Fibracom Telecomunicacoes E Servicos Eireli - ME","5678","socks4","31","30001","2021-08-31T11:02:14.173Z","100","1","1"
"190.145.173.202","elite","AS14080","CO","Telmex Colombia S.A.","113","Telmex Colombia S.A.","5678","socks4","32","245","2021-08-31T11:02:14.437Z","100","1","1"
"116.58.251.214","elite","AS131090","TH","CAT-BB","N/A","N/A","4145","socks4","42","423","2021-08-31T11:02:14.446Z","0","0","1"
"103.118.46.45","elite","AS137952","KH","ANGKOR E & C (CAMBODIA) Co., Ltd.","N/A","ANGKOR E & C (CAMBODIA) Co., Ltd","5678","socks4","58","442","2021-08-31T11:02:14.629Z","0","0","1"
"78.130.211.102","elite","AS9070","BG","ITD Network","186","N/A","3629","socks4","48","1","2021-08-31T11:02:14.378Z","100","1","1"
"84.15.211.228","elite","AS13194","LV","BITE-INTERNET","223","N/A","5678","socks4","32","425","2021-08-31T11:02:14.649Z","100","1","1"
"43.231.134.200","elite","AS55352","IN","VOVINET Broadband Subscribers","242","Vovinet Infocom Pvt. Ltd","5678","socks4","29","483","2021-08-31T11:02:14.539Z","100","1","1"
"177.91.44.99","elite","AS263427","BR","Carlos Henrique Santos de Oliveira ME","137","Carlos Henrique Santos de Oliveira ME","4153","socks4","31","30001","2021-08-31T11:02:14.495Z","100","1","1"
"103.134.203.26","elite","AS138619","BD","Md. Al Emran-Arshad","224","N/A","1080","socks4","57","473","2021-08-31T11:02:14.691Z","100","1","1"
"82.137.244.59","elite","AS29256","SY","ISP-TARASSUL","218","N/A","5678","socks4","44","1","2021-08-31T11:02:14.154Z","100","1","1"
"103.66.54.13","elite","AS136374","IN","Microtalk Communications Pvt Ltd","270","Essnet","5678","socks4","28","1","2021-08-31T11:02:13.810Z","100","1","1"
"190.221.161.186","elite","AS19037","AR","Telmex Argentina S.A","231","Fundacion Universidadempresarial Siglo 21","4153","socks4","51","30001","2021-08-31T11:02:13.981Z","100","1","1"
"103.83.188.50","elite","AS136210","MM","IT Spectrum Company Limited","213","N/A","5678","socks4","53","30043","2021-08-31T11:02:13.925Z","100","1","1"
"85.29.144.114","elite","AS21299","KZ","2DAY Telecom LLP","301","N/A","5678","socks4","30","578","2021-08-31T11:02:13.675Z","100","1","1"
"114.117.162.23","elite","AS45090","CN","Shenzhen Hairuiya Technology CO., LTD","191","Tencent Cloud Computing (Beijing) Co","5678","socks4","73","1","2021-08-31T11:02:13.093Z","100","1","1"
"8.210.206.201","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","161","Alibaba.com Singapore E-Commerce Private Limited","5678","socks4","44","335","2021-08-31T11:02:13.691Z","100","1","1"
"212.186.183.153","elite","AS8412","AT","UPC AT","182","UPC Austria GmbH","5678","socks4","31","1","2021-08-31T11:02:13.293Z","100","1","1"
"167.250.99.157","elite","AS265199","BR","Provedor Cariri Conect","145","Provedor Cariri Conect","5678","socks4","41","1","2021-08-31T11:02:13.180Z","100","1","1"
