ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"202.154.63.41","elite","AS4434","ID","RADNET","196","N/A","5678","socks4","35","5001","2021-08-31T11:15:57.973Z"
"36.94.55.26","elite","AS7713","ID","PT. Telekomunikasi Indonesia","257","Telekomunikasi Indonesia","5678","socks4","35","1097","2021-08-31T11:15:52.706Z"
"202.29.244.97","elite","AS4621","TH","THAINET","226","N/A","5678","socks4","35","455","2021-08-31T11:15:50.683Z"
"36.95.48.45","elite","AS7713","ID","PT. Telekomunikasi Indonesia","198","Telekomunikasi Indonesia","5678","socks4","36","411","2021-08-31T11:15:50.623Z"
"36.95.110.127","elite","AS7713","ID","PT. Telekomunikasi Indonesia","192","Telekomunikasi Indonesia","5678","socks4","36","401","2021-08-31T11:15:49.519Z"
"202.166.217.3","elite","AS17501","NP","WorldLink Communications","295","Wlink Fiber Static IP","5678","socks4","45","604","2021-08-31T11:15:49.455Z"
"36.94.81.245","elite","AS7713","ID","PT. Telekomunikasi Indonesia","266","Telekomunikasi Indonesia","5678","socks4","35","3199","2021-08-31T11:15:48.441Z"
"202.62.227.45","elite","AS23772","IN","ORTELCOMMUNICATIONS","263","N/A","31606","socks4","37","N/A","2021-08-31T11:15:47.843Z"
"202.62.50.63","elite","AS23673","KH","COGETEL Co., Ltd","N/A","COGETEL","5678","socks4","35","N/A","2021-08-31T11:15:46.675Z"
"117.222.61.53","elite","AS9829","IN","BSNL Internet","266","N/A","5678","socks4","39","N/A","2021-08-31T11:15:45.337Z"
"36.91.99.242","elite","AS7713","ID","PT Telekomunikasi Indonesia","270","Telekomunikasi Indonesia","4153","socks4","35","N/A","2021-08-31T11:15:44.345Z"
"117.204.255.60","elite","AS9829","IN","Bharat Sanchar Nigam Ltd","N/A","BSNL BBoWIFI services","5678","socks4","35","5002","2021-08-31T11:15:44.158Z"
"200.105.172.194","elite","AS26210","BO","AXS Bolivia S. A.","168","AXS Bolivia S. A","5678","socks4","36","N/A","2021-08-31T11:15:42.122Z"
"91.241.176.79","elite","AS44352","UA","I.T.T. Tehnologiya LLC","183","I.T.T. Tehnologiya Plus LLC","5678","socks4","36","382","2021-08-31T11:15:42.523Z"
"93.123.96.10","elite","AS34577","BG","SKAT TV Ltd.","201","Neterra Ltd","5678","socks4","37","405","2021-08-31T11:15:41.481Z"
"200.148.215.34","elite","AS10429","BR","Vivo","213","A. Telecom S.A","5678","socks4","35","406","2021-08-31T11:15:41.369Z"
"92.246.145.231","elite","AS58224","IR","Iran Telecommunication Company PJS","229","Telecommunication Company of Alborz","5678","socks4","35","N/A","2021-08-31T11:15:40.366Z"
"200.109.66.90","elite","AS8048","VE","CANTV Servicios, Venezuela","163","CANTV Servicios, Venezuela","4153","socks4","34","N/A","2021-08-31T11:15:40.246Z"
"91.211.66.202","elite","AS39305","FR","Groupe Convergence.com SAS","154","WAN Customers Convergence","5678","socks4","35","309","2021-08-31T11:15:39.343Z"
"5.202.159.101","elite","AS49100","IR","PTS-Network","267","N/A","5678","socks4","45","5001","2021-08-31T11:15:38.474Z"
"200.170.249.138","elite","AS11432","BR","Telium TelecomunicaÔÔes Ltda","181","Telium Telecomunicações Ltda","4153","socks4","35","369","2021-08-31T11:15:38.543Z"
"200.118.122.6","elite","AS10620","CO","Telmex Colombia S.A.","121","Telmex Colombia S.A","4153","socks4","35","N/A","2021-08-31T11:15:37.528Z"
